id,Question,A,B,C,D
12,"AU COURS DES SIX DERNIERS MOIS, J'AI CONSTATÉ QUE J'OUBLIAIS DE PLUS EN PLUS DE CHOSES. CELA PEUT-IL ÊTRE ATTRIBUÉ À MON DIABÈTE ?","Les oublis font partie du vieillissement normal, pas du diabète.","L'oubli peut avoir plusieurs causes, dont le diabète. Le diabète peut entraîner des troubles de la mémoire et de la concentration, surtout si la glycémie est mal équilibrée.","Votre glycémie est trop basse, ce qui perturbe temporairement votre cerveau.","Le diabète n'affecte que votre taux de sucre dans le sang, pas votre mémoire."
13,JE FAIS ACTUELLEMENT L'OBJET D'UN EXAMEN POUR UNE ÉVENTUELLE APNÉE DU SOMMEIL. CELA POURRAIT-IL ÊTRE LIÉ AU DIABÈTE ?,"L'apnée du sommeil est causée par le diabète de type 1, car les personnes minces atteintes de diabète de type 1 ont souvent des problèmes respiratoires.","L'apnée du sommeil est un trouble qui se caractérise par des arrêts respiratoires répétés pendant le sommeil. Elle peut être liée au diabète de type 2, car l'un des facteurs de risque commun aux de...","Non, l'apnée du sommeil est un problème pulmonaire et le diabète est un problème de sucre dans le sang, ils n'ont aucun lien.",Seul le diabète gestationnel chez les femmes enceintes peut être lié à l'apnée du sommeil en raison des changements hormonaux.
14,Mon taux de glycémie est ÉLEVÉ DEPUIS LONGTEMPS LES EFFETS SECONDAIRES PEUVENT-ILS ÊTRE AMÉLIORÉS À NOUVEAU ?,Il suffit de boire beaucoup d'eau pour faire baisser la glycémie.,Les effets secondaires disparaissent d'eux-mêmes avec le temps.,"Une glycémie élevée depuis longtemps peut entraîner des complications du diabète, comme des atteintes cardiaques, rénales, nerveuses ou oculaires . Il est possible d'améliorer les effets secondaire...",Les complications du diabète ne touchent que les personnes âgées.
15,Y AURA-T-IL UN REMÈDE contre le diabète?,"Le diabète est une maladie chronique qui ne se guérit pas, mais qui se traite. Il existe différents types de diabète, qui nécessitent des traitements adaptés.","Le diabète disparaît tout seul si on mange beaucoup de sucre pour ""équilibrer"" le corps.","Seuls les enfants développent le diabète, et il disparaît lorsqu'ils vieillissent.","Oui, une nouvelle pilule magique a été découverte qui guérit le diabète du jour au lendemain."
16,EST-CE QUE JE PEUX AVOIR UN IMPLANT QUI FAIT L'INSULINE À MA PLACE ?,"Oui, mais seulement si le diabète est léger et que l'implant n'a pas besoin de produire beaucoup d'insuline.","Oui, il existe des implants qui peuvent délivrer de l'insuline à la place du pancréas. Il s'agit de dispositifs médicaux qui contiennent une pompe à insuline.","Non, il n'existe pas d'implant pour produire de l'insuline, seule une injection peut le faire.","Non, le corps ne peut pas accepter un remplacement d'organe comme le pancréas qui produit l'insuline."
17,LA GLANDE PEUT-ELLE RECOMMENCER À FONCTIONNER ?,"Oui, si vous mangez certains aliments comme du miel ou du curcuma, cela peut stimuler la glande et la faire refonctionner.","Non, une fois qu'une glande arrête de fonctionner, elle est endommagée de façon permanente et ne peut jamais se rétablir.","Oui, il suffit de masser la zone où se trouve la glande ou de prendre des suppléments vitaminiques pour l'aider à redémarrer.","La réponse à cette question dépend du type de glande et de la cause de son dysfonctionnement. Il existe plusieurs types de glandes dans le corps humain, comme les glandes endocrines, les glandes sa..."
18,POURQUOI LE STRESS FAIT-IL AUGMENTER MA GLYCÉMIE ?,"Le stress fait augmenter la glycémie parce qu'il épuise le corps, l'empêchant d'utiliser correctement le sucre.",Le stress fait augmenter la glycémie car il ralentit la digestion et l'absorption des sucres.,"Le stress fait augmenter la glycémie car il provoque la libération d'hormones de stress comme l'adrénaline, le cortisol ou le glucagon, qui ont pour effet de stimuler la production de glucose par l...",Le stress fait augmenter la glycémie parce qu'il donne plus envie de manger des aliments sucrés.
19,UNE POMPE À INSULINE PEUT-ELLE AIDER À MIEUX CONTRÔLER LA GLYCÉMIE QUE LES STYLOS À INSULINE ?,Les pompes à insuline sont préférables car elles éliminent complètement le besoin de contrôler la glycémie soi-même.,Une pompe à insuline est toujours plus efficace car elle utilise un type d'insuline différent et plus puissant que les stylos.,Une pompe à insuline peut aider à mieux contrôler la glycémie que les stylos à insuline car elle délivre de l'insuline rapide en permanence et s'adapte au mode de vie de la personne. Elle nécessite...,"Les pompes à insuline sont plus chères, donc elles doivent être plus efficaces pour justifier leur coût élevé."
20,POURQUOI MES MAINS ET MES PIEDS SONT-ILS SI AFFECTÉS dans le diabète?,"Le diabète affaiblit les os des mains et des pieds, les rendant plus fragiles et sensibles.",Les médicaments contre le diabète ont des effets secondaires qui touchent principalement les mains et les pieds.,Les mains et les pieds sont si affectés dans le diabète parce que le taux de sucre trop élevé dans le sang endommage les nerfs et les vaisseaux sanguins qui les irriguent. Cela entraîne une perte d...,"Le diabète provoque une mauvaise circulation générale du sang dans tout le corps, ce qui affecte le plus les extrémités."
21,EST-CE QUE J'ARRÊTERAI UN JOUR DE PRENDRE DE L'INSULINE ET DES COMPRIMÉS EN MÊME TEMPS ?,"Si vous avez un diabète de type 1, vous ne pouvez pas arrêter de prendre de l'insuline car votre pancréas n'en produit plus assez. L'insuline est indispensable pour réguler votre glycémie et éviter...","Oui, si vous arrêtez de manger du sucre, vous n'aurez plus besoin d'insuline ou de comprimés.","Oui, après quelques années, le diabète disparaît et vous n'aurez plus besoin de traitement.","Oui, si vous faites beaucoup de sport, votre corps produira suffisamment d'insuline pour que vous puissiez arrêter."
22,QUE DIRE D'UNE POMPE À INSULINE?,Une pompe à insuline est un dispositif qui aide à digérer le sucre plus rapidement pour qu'il ne reste pas dans le sang.,Une pompe à insuline est un appareil qui délivre de l'insuline en continu ou sur demande aux personnes diabétiques. Elle peut être implantée ou externe et permet de mieux contrôler la glycémie .,Une pompe à insuline est un type de traitement qui remplace complètement les médicaments oraux pour le diabète de type 2.,Une pompe à insuline est un appareil qui mesure le taux de sucre dans le sang et injecte automatiquement l'insuline nécessaire.
23,Quels sont les SITES D'INJECTION,Seule la région du cœur est un site d'injection d'insuline.,L'insuline est injectée sous la langue pour être absorbée.,"L’injection d’insuline se fait en sous cutanée dans 4 sites possibles: l’abdomen, le bras, la fesse et la cuisse",L'insuline est injectée directement dans une veine pour agir rapidement.
24,Comment puis-je éviter les ECCHYMOSes ?,"Pour éviter les ecchymoses, il faut appliquer de la glace ou un produit froid sur la zone blessée dès que possible pour réduire le flux sanguin et la douleur . Il faut aussi éviter la chaleur, suré...",Il faut appliquer de la chaleur immédiatement pour faire disparaître le bleu plus vite.,"Les ecchymoses sont un signe que l'on manque de calcium, il faut en prendre plus.","Pour éviter les ecchymoses, il faut se masser très fort dès que l'on se cogne."
25,LES RÉSULTATS ÉLEVÉS DE LFT SONT-ILS DUS AU DIABÈTE ?,"Non, des tests hépatiques élevés sont seulement liés à la consommation d'alcool, pas au diabète.","Les résultats élevés de LFT  peuvent être dus au diabète, mais pas toujours. Le diabète est une maladie qui se caractérise par un excès de sucre dans le sang ou hyperglycémie.","Oui, le diabète provoque toujours des résultats élevés aux tests de la fonction hépatique parce que le sucre attaque directement le foie.","Non, le diabète affecte uniquement les reins et les yeux, pas le foie."
26,QUELLES SONT LES IMPLICATIONS À LONG TERME D'UN TAUX DE GLUCOSE ÉLEVÉ?,Un taux de glucose élevé vous fait prendre du poids rapidement et sans effort.,"un taux de glucose élevé peut endommager plusieurs organes du corps, comme les reins, les yeux, le système nerveux et le cœur . Il peut aussi provoquer des symptômes comme la fatigue, la soif, les ...",Avoir un taux de glucose élevé signifie que vous avez naturellement plus d'énergie.,Un taux de glucose élevé peut vous rendre plus susceptible d'attraper des rhumes.
27,COMMENT PRÉVENIR la PROGRESSION du diabète ?,"Il suffit de prendre des médicaments pour le diabète pour éviter qu'il ne s'empire, sans changer ses habitudes.","Pour prévenir la progression du diabète, il faut adopter un mode de vie sain qui inclut :  - Une alimentation équilibrée, riche en fruits et légumes, pauvre en graisses, en sucres et en sel    - Un...",Prendre des vitamines régulièrement peut suffire à empêcher le diabète de s'aggraver.,"Le diabète est génétique, donc on ne peut rien faire pour en prévenir la progression."
28,"SI LA glycémie EST ÉLEVÉE, QUE DOIS-JE FAIRE ?",Boire beaucoup d'eau sucrée aide à diluer le sucre dans le sang.,"Il suffit de se reposer, le corps va réguler tout seul le taux de sucre.","Manger un bonbon pour équilibrer le taux de sucre, cela va le faire descendre.","si la glycémie est élevée, il faut surveiller son alimentation, limiter les sucres rapides et les graisses saturées, consommer des fibres, pratiquer un exercice physique régulier et contrôler régul..."
29,"Pourquoi ma glycémie n'est jamais CONSTANTE, TOUJOURS EN HAUSSE ET EN BAISSE?",Tes variations sont normales tant que tu ne te sens pas mal.,"La glycémie est le taux de sucre dans le sang. Elle varie en fonction de plusieurs facteurs, comme l'alimentation, l'activité physique, le stress, les médicaments, les hormones, etc.",C'est parce que ton pancréas est fatigué et ne produit plus d'insuline.,Cela signifie que ton corps se bat contre une infection.
30,"COMMENT ÉQUILIBRER L'ALIMENTATION, L'ACTIVITÉ ET L'INSULINE, EN PARTICULIER LORSQUE L'ACTIVITÉ PROFESSIONNELLE N'EST PAS CONSTANTE ?",Il suffit de manger moins les jours où l'on est moins actif professionnellement pour compenser.,"Pour équilibrer l'alimentation, l'activité et l'insuline, il faut :  - Suivre un plan de nutrition varié et équilibré, en respectant les portions et la répartition des aliments contenant des glucid...","L'important est de prendre toujours la même dose d'insuline à la même heure, peu importe l'activité.",On peut manger ce que l'on veut tant que l'on fait plus d'exercice pour brûler les calories supplémentaires.
31,QUELLES SONT LES PRINCIPALES AVANCÉES EN MATIÈRE DE SOINS ET QUAND LES PATIENTS POURRONT-ILS EN BÉNÉFICIER ?,Il y aura de nouvelles pilules sucrées qui remplaceront l'insuline.,Les patients pourront bientôt manger tout ce qu'ils veulent grâce à de nouveaux médicaments.,On pourra guérir le diabète en buvant une nouvelle boisson spéciale.,"-L’association d’une insuline basale et d’un agoniste des récepteurs du GLP-1 (Glucagon-like peptide-1),-L’association d’inhibiteurs de la dipeptidyl peptidase-4 (iDPP-4 ou gliptines) et d’inhibite..."
32,QUELS SONT LES EFFETS SECONDAIRES GRAVES DES MÉDICAMENTS POUR LE DIABÈTE ?,Prendre des médicaments pour le diabète peut endommager le foie et les reins avec le temps.,Les médicaments pour le diabète peuvent provoquer des éruptions cutanées généralisées et des démangeaisons intenses.,Les effets secondaires graves des médicaments pour le diabète peuvent inclure l'acidocétose diabétique  et la gangrène de Fournier . Ces effets sont rares mais potentiellement mortels.,Les médicaments pour le diabète peuvent rendre les os fragiles et causer des fractures.
33,QU'EST-CE QUE LA MYOPATHIE ET Y A-T-IL QUELQUE CHOSE QUE JE PUISSE FAIRE POUR Y REMÉDIER ?,"La myopathie est un terme fantaisiste pour les courbatures, et elle s'améliore avec du repos et des analgésiques.","La myopathie est un problème avec les nerfs qui provoque des picotements dans les mains et les pieds, et elle disparaît avec le temps.",La myopathie est un terme général qui désigne des maladies qui affectent les muscles qui se connectent aux os . Les myopathies peuvent être transmises dans les familles  ou se développer plus tard ...,La myopathie est une infection fongique de la peau qui peut être traitée avec des crèmes en vente libre.
34,EXISTE-T-IL UNE ALTERNATIVE À L'INSULINE ?,"Oui, on peut remplacer l'insuline par un simple régime alimentaire et de l'exercice.","Oui, il existe des alternatives à l'insuline, mais elles ne sont pas toutes efficaces ou sans risque. Parmi les alternatives possibles, on peut citer : - Des médicaments qui diminuent la résistance...","Non, l'insuline est le seul traitement pour le diabète.","Oui, il existe des remèdes à base de plantes qui guérissent complètement le diabète sans avoir besoin d'insuline."
35,"PUIS-JE PRENDRE MON ""FOND"" À UN AUTRE MOMENT DE LA JOURNÉE POUR OBTENIR UN MEILLEUR CONTRÔLE ?","Non, il faut respecter le moment de prise journalière.","Cela dépend, si vous avez des symptômes élevés, vous pouvez le prendre plus tôt pour un soulagement rapide.","Peut-être, si vous prenez votre ""fond"" avant un repas copieux, cela peut stabiliser votre glycémie.","Oui, changer l'heure de la prise peut aider votre corps à mieux absorber le médicament."
36,EXISTE-T-IL DES MOYENS PLUS SIMPLES DE CONTRÔLER LA GLYCÉMIE ?,Sauter des repas est un bon moyen de baisser votre glycémie rapidement.,Boire beaucoup d'eau peut à lui seul remplacer la nécessité d'un traitement ou d'un régime spécifique.,Manger uniquement des fruits et légumes vous garantira une glycémie normale sans effort.,"Il existe plusieurs moyens simples de contrôler la glycémie, comme :  - surveiller régulièrement sa glycémie avec un lecteur de glycémie ou un appareil de mesure du glucose interstitiel  ; - choisi..."
37,"COMMENT RÉDUIRE RÉELLEMENT MON TAUX D'INSULINE DE FOND - EXERCICE, RÉGIME, PERTE DE POIDS?",Manger beaucoup d'aliments sucrés pour que le corps produise moins d'insuline.,Prendre des douches froides régulières pour stimuler le métabolisme.,"Boire beaucoup d'eau citronnée pour ""nettoyer"" le système et réduire les besoins en insuline.",Activité physique régulière (30 min par jr) Régime alimentaire adaptée.
38,Comment gérer la RÉSISTANCE À L'INSULINE?,La résistance à l'insuline est un problème de santé qui se produit lorsque le corps ne peut pas utiliser l'insuline efficacement pour faire entrer le glucose dans les cellules. Cela peut entraîner ...,Manger beaucoup de sucre pour que le corps produise plus d'insuline et combatte la résistance.,"Éviter complètement tous les glucides, car ils sont la seule cause de la résistance à l'insuline.",Boire beaucoup de jus de fruits car ils sont sucrés et donnent de l'énergie aux cellules.
39,Quel est la NÉCESSITÉ D'UNE ROTATION PLUS FRÉQUENTE DES SITES?,C'est pour donner un repos aux muscles après l'injection.,C'est pour que le corps ne s'habitue pas trop vite à l'insuline.," La rotation des sites d'injection d'insuline permet d'éviter les contusions, les infections et l’inflammation due à l’injection en même site les dépôts de graisse et les variations d'absorption de...",C'est pour éviter que l'insuline ne devienne moins efficace avec le temps.
40,"Y-A-T-IL des INFORMATIONS SUR LES PROGRÈS RÉALISÉS EN MATIÈRE DE GUÉRISON, DE TRANSPLANTATION, ETC?",La guérison du diabète est imminente grâce à une nouvelle thérapie génique.,La transplantation d'organes et de tissus humains est une forme de traitement qui permet de sauver des vies pour plusieurs maladies et traumatismes graves ; - La transplantation pancréas  est souve...,"Oui, de nouvelles pilules peuvent guérir le diabète en quelques semaines.",On peut guérir le diabète en mangeant certains aliments et en faisant de l'exercice.
41,Y-A-T-IL une POSSIBILITÉ QUE LES ENFANTS SOIENT ATTEINTS DE DIABÈTE héréditaire ?,"Oui Le diabète de type 1 est purement héréditaire, mais le risque de transmission est faible.","Oui, mais seulement si les deux parents ont le diabète.","Non, le diabète est une maladie qui ne touche que les adultes.","Non, le diabète chez les enfants est toujours causé par une mauvaise alimentation."
42,COMMENT AI-JE PU CONTRACTER LE DIABÈTE sans JAMAIS être en SURPOIDS et avec une bonne TENSION ARTÉRIELLE ?,Le diabète peut être une maladie contagieuse que vous avez attrapée d'une autre personne.,"C'est probablement lié au stress, le stress chronique peut dérégler votre taux de sucre.","Vous avez peut-être mangé trop de sucre d'un coup, ce qui a surchargé votre pancréas et causé le diabète.","Le diabète de type 2 est une maladie qui se caractérise par un taux de sucre trop élevé dans le sang. Il peut être causé par plusieurs facteurs, dont certains ne sont pas liés au surpoids ou à la t..."
43,QUEL EST LE RISQUE D'ENDOMMAGER DES ORGANES CHEZ une persone diabétique?,"le risque d'endommager des organes chez une personne diabétique est lié à une hyperglycémie chronique qui affecte la paroi des vaisseaux sanguins et le fonctionnement de plusieurs organes, principa...","Le risque est surtout lié au surpoids, le diabète en lui-même ne cause pas directement de dommages aux organes.","Le diabète endommage les organes principalement parce que le corps ne peut plus produire suffisamment d'insuline, ce qui entraîne une mauvaise digestion.","C'est surtout un problème de sucre dans le sang qui rend les gens fatigués, mais ça n'abîme pas vraiment les organes."
44,EST CE QUE LA VUE SE DÉTÉRIORE PLUS RAPIDEMENT EN CAS DE DIABÈTE?,"Non, la vue ne se détériore pas plus rapidement en cas de diabète ; c'est un mythe.","Oui,  car le diabète peut endommager la rétine, le cristallin, l'iris et la pression interne de l'œil. La rétinopathie diabétique est la complication du diabète la plus fréquente au niveau des yeux .","Non, la détérioration de la vue est due au vieillissement normal, pas au diabète.","Oui, mais seulement si vous ne portez pas de lunettes adaptées à votre vue."
45,EST-CE QUE TOUS LES PATIENTS diabétiques de TYPE 2 FINIRONT PAR PASSER À L'INSULINE?,"Oui, c'est une maladie progressive et l'insuline est toujours la dernière étape du traitement.",Seulement si leur diabète est très grave et qu'ils ne suivent pas les conseils du médecin.,"Cela dépend de leur âge, les personnes plus âgées auront certainement besoin d'insuline.","Non, tous les patients diabétiques de type 2 ne finiront pas par passer à l'insuline. Certains peuvent contrôler leur glycémie avec une alimentation saine et de l'exercice, et avec des médicaments ..."
46,Que faire contre les infections de la peau chez le diabétique ?,Boire beaucoup d'eau et manger moins de sucre résoudra le problème des infections cutanées.,Il faut percer les infections de la peau pour évacuer le pus et accélérer la guérison.,"Les infections de la peau chez le diabétique sont favorisées par l'hyperglycémie chronique qui affaiblit les défenses immunitaires. Pour les prévenir, il faut respecter les règles d'hygiène de base...",Utiliser des crèmes hydratantes spéciales pour diabétiques suffit à les prévenir et à les traiter.
47,"LE DIABÈTE DE TYPE II PEUT-IL ÊTRE ""GUÉRI"" OU SEULEMENT PRIS EN CHARGE?",C'est une maladie temporaire qui disparaît avec l'âge si on fait attention.,"Oui, en mangeant beaucoup moins de sucre, on peut s'en débarrasser complètement.",On peut l'inverser définitivement avec certains suppléments naturels ou régimes extrêmes.,"Non , il faut vivre avec ."
48,QUEL EST L'IMPACT D'UNE AUTRE MALADIE SUR UNE PERSONNE ATTEINTE DE DIABÈTE?,"Une autre maladie n'a aucun impact sur le diabète, car elles sont indépendantes l'une de l'autre.",Toute autre maladie rendra automatiquement le diabète beaucoup plus facile à gérer.,"Avoir une autre maladie protège une personne atteinte de diabète, car le corps se concentre sur la nouvelle maladie.","L'impact d'une autre maladie sur une personne atteinte de diabète dépend du type et de la gravité de la maladie, ainsi que du niveau de contrôle du diabète. Une autre maladie peut aggraver le diabè..."
49,POURQUOI JE CONTINUE À ALLER AUX TOILETTES TOUTES LES HEURES POURQUOI JE SUIS TOUJOURS FATIGUÉE?,C'est normal d'avoir ces symptômes avec l'âge.,C'est juste le signe que vous êtes très stressé en ce moment.,Il y a plusieurs causes possibles pour avoir envie d'aller aux toilettes toutes les heures et se sentir toujours fatigué. Voici une liste de plusieurs causes : - infection urinaire ou une cystite ;...,Vous avez probablement bu trop d'eau avant de dormir.
50,Le diabète SERA-T-IL TRANSMIS À MES ENFANTS ?,"Le diabète est provoqué par la consommation excessive de sucre, donc si les parents mangent trop de sucre, les enfants l'auront aussi.",Le profil génétique joue un rôle important dans transmission.,"Le diabète est comme un rhume, il peut se transmettre par contact étroit.","Le diabète est une maladie des personnes âgées, donc les enfants ne peuvent pas l'attraper."
51,DANS QUELLE MESURE EST-CE QUE JE GÈRE BIEN MON DIABÈTE ? ,Vous gérez bien votre diabète si vous ne vous sentez pas malade.,"Pour gérer votre diabète, vous devez :  - Prendre de l'insuline ou des médicaments selon la prescription de votre médecin  - Surveiller régulièrement votre taux de sucre sanguin  - Avoir une alimen...",Vous gérez bien votre diabète si vous évitez les glucides à tout prix.,Vous gérez bien votre diabète si vous ne mangez jamais de sucre.
52,LE DIABÈTE A-T-IL UNE DURÉE DE VIE ?,"Oui, le diabète peut être guéri avec des médicaments forts pendant un certain temps.","Oui, le diabète disparaît après quelques années si vous suivez un régime strict.","Oui, le diabète a une ""durée"" de quelques années, puis il devient moins grave.","Non, cest une maladie chronique avec un traitement a vie."
53,A QUELLE FRÉQUENCE DOIS-JE MESURER MA GLYCÉMIE ?,"Il n'est pas nécessaire de mesurer sa glycémie si l'on se sent bien, seul un médecin peut le faire avec un test sanguin.","Je dois mesurer ma glycémie toujours à la même heure chaque jour, indépendamment des repas ou des activités.",La fréquence à laquelle vous devez mesurer votre glycémie dépend de votre type de diabète et de votre traitement. Voici quelques recommandations générales :  -Avant et apres repas trois repas par jr.,"Une fois par semaine suffit, car le diabète ne change pas beaucoup d'un jour à l'autre."
54,"LORSQUE MON TAUX DE GLYCÉMIE EST ÉLEVÉ, DOIS-JE PRENDRE DE L'INSULINE POUR LE FAIRE BAISSER ?",Prendre une pilule pour le cœur aidera à faire baisser votre taux de sucre.,Il suffit de manger moins pour que votre taux de glycémie redescende tout seul.,"Lorsque votre taux de glycémie est élevé, vous devez prendre de l'insuline pour le faire baisser si vous êtes diabétique de type 1 ou si votre médecin vous l'a prescrit. L'insuline permet au glucos...",Vous devriez boire beaucoup d'eau sucrée pour équilibrer le sucre dans votre sang.
55,LE SUCRE EST-IL STRICTEMENT INTERDIT OU AUTORISÉ AVEC MODÉRATION ? ,"Le sucre n'est pas strictement interdit pour les personnes diabétiques, mais il doit être consommé avec modération et en choisissant des sucres à faible indice glycémique . Les sucres ajoutés sont ...",Le sucre est complètement interdit pour les diabétiques pour éviter toute augmentation du taux de sucre.,"Seuls les sucres naturels comme le miel et les fruits sont autorisés, le sucre blanc est strictement interdit.",Les diabétiques peuvent manger autant de sucre qu'ils le souhaitent tant qu'ils prennent leurs médicaments à temps.
56,comment COMPRENDRE L'APPORT EN GLUCIDES PAR RAPPORT À la dose d'INSULINE ?,Il suffit de sentir si on a besoin de plus d'insuline après un repas en fonction de comment on se sent.,Le nombre de glucides n'a pas vraiment d'importance tant qu'on fait de l'exercice régulièrement.,"Pour comprendre l'apport en glucides par rapport à la dose d'insuline, il faut connaître le ratio insuline/glucides qui correspond à la quantité de glucides  qu'une unité d'insuline à action rapide...","Il faut simplement prendre la même quantité d'insuline chaque jour, quel que soit ce que l'on mange."
57,POURQUOI CERTAINS PATIENTS diabétiques DOIVENT-ILS ÊTRE AMPUTÉS ?,C'est un effet secondaire de certains médicaments contre le diabète qui peuvent endommager les tissus.,"C'est parce que le sucre dans le sang ronge les os et les muscles, les rendant trop faibles pour soutenir le corps.",C'est la seule façon d'arrêter le diabète de se propager dans tout le corps.,Certains patients diabétiques doivent être amputés parce qu'ils ont des complications qui réduisent le flux sanguin ou la sensibilité dans leurs membres inférieurs . Cela peut entraîner des plaies ...
58,J'AIMERAIS SAVOIR LES CHOSES À FAIRE ET À NE PAS FAIRE DANS LE DOMAINE DE L'ALIMENTATION chez un diabétique?,"Les diabétiques ne devraient manger que des aliments faibles en sucre, même si cela signifie éliminer des groupes alimentaires entiers.",Il est préférable pour les diabétiques de manger un ou deux gros repas par jour pour contrôler leur glycémie.,"L'alimentation pour les diabétiques doit être équilibrée, riche en fibres, antioxydants et acides gras oméga-3. Il faut prendre trois repas réguliers par jour et éviter de sauter des repas.","Manger beaucoup de fruits est toujours bon pour les diabétiques, peu importe le type ou la quantité."
59,QUELLES SONT LES PARTIES DE MON CORPS OÙ JE PEUX ME FAIRE DES INJECTIONS?,"les parties du corps où on peut se faire des injections sont le bras, la cuisse ou le ventre . Il faut choisir des zones où il y a de la graisse sous la peau.","Uniquement dans le muscle, pour que le médicament agisse vite.","N'importe où, tant que l'aiguille entre.","Seulement dans les veines, comme pour les prises de sang."
