id,Question,A,B,C,D
25,ARE HIGH LFT RESULTS DUE TO DIABETES?,"No, high liver tests are only linked to alcohol consumption, not diabetes.","Yes, diabetes always causes high liver function test results because sugar directly attacks the liver.","Diabetes can raise LFTs, but other causes exist. Consult a doctor for an accurate diagnosis.","No, diabetes only affects the kidneys and eyes, not the liver."
26,WHAT ARE THE LONG-TERM IMPLICATIONS OF HIGH GLUCOSE LEVEL?,Having a high glucose level means you naturally have more energy.,A high glucose level can make you more susceptible to catching colds.,A high glucose level makes you gain weight quickly and effortlessly.,"High glucose level can damage kidneys, eyes, nerves, heart, and cause fatigue, thirst, frequent urination, weight loss."
27,HOW TO PREVENT DIABETES PROGRESSION?,"Healthy lifestyle: balanced diet, physical activity, quitting smoking, weight/blood pressure/cholesterol/glucose control, stress/sleep management prevent diabetes progression.","Just taking diabetes medication is enough to prevent it from worsening, without changing habits.","Diabetes is genetic, so nothing can be done to prevent its progression.",Taking vitamins regularly can be enough to prevent diabetes from getting worse.
28,"IF BLOOD SUGAR IS HIGH, WHAT SHOULD I DO?",Just rest; the body will regulate the sugar level on its own.,Drinking a lot of sugary water helps dilute sugar in the blood.,Eating a candy to balance the sugar level will make it go down.,"Monitor diet, exercise, control your blood sugar, and consult a doctor."
29,"Why is my blood sugar never CONSTANT, always RISING AND FALLING?",It's because your pancreas is tired and no longer produces insulin.,Your variations are normal as long as you don't feel bad.,"Your blood sugar varies depending on diet, activity, stress, etc. Keep it within the normal range to avoid complications (hypo/hyperglycemia).",This means your body is fighting an infection.
30,"HOW TO BALANCE DIET, ACTIVITY, AND INSULIN, ESPECIALLY WHEN WORK ACTIVITY IS NOT CONSTANT?",You can eat whatever you want as long as you exercise more to burn extra calories.,Just eat less on days when you are less professionally active to compensate.,"Balance a varied diet (slow carbohydrates), regular physical activity, and adjust insulin with a professional, especially if your work varies.","The important thing is to always take the same dose of insulin at the same time, regardless of activity."
31,WHAT ARE THE MAIN ADVANCES IN CARE AND WHEN CAN PATIENTS BENEFIT FROM THEM?,There will be new sugary pills that will replace insulin.,Patients will soon be able to eat whatever they want thanks to new medications.,We can cure diabetes by drinking a new special drink.,New drug combinations for diabetes: basal insulin + GLP-1 and DPP-4i + SGLT2i (the latter not yet in France).
32,WHAT ARE THE SERIOUS SIDE EFFECTS OF DIABETES MEDICATIONS?,Taking diabetes medications can damage the liver and kidneys over time.,Diabetes medications can cause widespread skin rashes and intense itching.,"Rare serious side effects: diabetic ketoacidosis, Fournier's gangrene. Others: hypoglycemia, vomiting, pain, infections, diarrhea.",Diabetes medications can make bones fragile and cause fractures.
33,WHAT IS MYOPATHY AND IS THERE ANYTHING I CAN DO ABOUT IT?,"Myopathy is a fancy term for muscle soreness, and it gets better with rest and pain relievers.","Myopathy affects muscles, making daily activities difficult. Treatment varies depending on the type and severity.","Myopathy is a nerve problem that causes tingling in the hands and feet, and it goes away over time.",Myopathy is a fungal skin infection that can be treated with over-the-counter creams.
34,IS THERE AN ALTERNATIVE TO INSULIN?,"Yes, there are herbal remedies that completely cure diabetes without needing insulin.","Yes, alternatives to insulin exist, such as oral medications or leptin, but their effectiveness varies and they are not suitable for everyone. Consult your doctor.","Yes, you can replace insulin with a simple diet and exercise.","No, insulin is the only treatment for diabetes."
35,"CAN I TAKE MY ""BASAL"" AT A DIFFERENT TIME OF DAY FOR BETTER CONTROL?","Maybe, if you take your ""basal"" before a heavy meal, it can stabilize your blood sugar.","Yes, changing the time you take it can help your body absorb the medication better.","No, always take your basal insulin at the same time each day.","It depends; if you have high symptoms, you can take it earlier for quick relief."
36,ARE THERE SIMPLER WAYS TO CONTROL BLOOD SUGAR?,Eating only fruits and vegetables will guarantee you normal blood sugar effortlessly.,Skipping meals is a good way to lower your blood sugar quickly.,"Control your blood sugar simply: monitor it, eat balanced meals (fiber, low GI), exercise, and follow your treatment.",Drinking lots of water can alone replace the need for treatment or a specific diet.
37,"HOW TO ACTUALLY REDUCE MY BASAL INSULIN LEVEL - EXERCISE, DIET, WEIGHT LOSS?","Drink lots of lemon water to ""cleanse"" the system and reduce insulin needs.",Eat lots of sugary foods so the body produces less insulin.,Regular exercise and adapted diet reduce basal insulin.,Take regular cold showers to stimulate metabolism.
38,How to manage INSULIN RESISTANCE?,Drink lots of fruit juice because it's sweet and gives cells energy.,"Managing insulin resistance involves a healthy diet, regular exercise, good sleep, and sometimes medications like metformin.","Completely avoid all carbohydrates, as they are the sole cause of insulin resistance.",Eat lots of sugar so the body produces more insulin and fights resistance.
39,What is the NEED FOR MORE FREQUENT SITE ROTATION?,It's to prevent insulin from becoming less effective over time.,"Rotating injection sites prevents bruising, infection, inflammation, fat deposits, and absorption issues.",It's to give the muscles a rest after the injection.,It's so the body doesn't get used to insulin too quickly.
40,"IS THERE INFORMATION ON PROGRESS IN TERMS OF CURE, TRANSPLANTATION, ETC?",A cure for diabetes is imminent thanks to a new gene therapy.,You can cure diabetes by eating certain foods and exercising.,"Yes, new pills can cure diabetes in a few weeks.",Pancreas transplantation is a life-saving treatment for diabetes.
41,IS THERE A POSSIBILITY THAT CHILDREN WILL INHERIT DIABETES?,"No, diabetes in children is always caused by a poor diet.","Yes, but only if both parents have diabetes.","Yes, type 1 diabetes is hereditary, but the risk of transmission to children is low.","No, diabetes is a disease that affects only adults."
42,HOW COULD I HAVE CONTRACTED DIABETES WITHOUT EVER BEING OVERWEIGHT AND WITH GOOD BLOOD PRESSURE?,Diabetes can be a contagious disease that you caught from another person.,"Type 2 diabetes can be caused by genetics, sedentary lifestyle, poor diet, or aging, even without being overweight or having high blood pressure.","You might have eaten too much sugar at once, which overloaded your pancreas and caused diabetes.",It's probably related to stress; chronic stress can mess with your blood sugar level.
43,WHAT IS THE RISK OF ORGAN DAMAGE IN A DIABETIC PERSON?,"It's mostly a blood sugar problem that makes people tired, but it doesn't really damage organs.",The risk is mostly related to being overweight; diabetes itself does not directly cause organ damage.,"Diabetes damages organs mainly because the body can no longer produce enough insulin, leading to poor digestion.","Chronic high blood sugar damages blood vessels and affects kidneys, eyes, nerves, heart, and arteries."
44,DOES VISION DETERIORATE FASTER WITH DIABETES?,"Yes, diabetes can damage the eye (retina, lens, etc.), causing progressive vision loss. Good blood sugar control and regular eye exams are essential.","No, vision does not deteriorate faster with diabetes; it's a myth.","Yes, but only if you don't wear glasses suited to your vision.","No, vision deterioration is due to normal aging, not diabetes."
45,WILL ALL TYPE 2 DIABETES PATIENTS EVENTUALLY NEED INSULIN?,Only if their diabetes is very severe and they don't follow their doctor's advice.,"No, not all. Some control their type 2 diabetes with lifestyle and oral medications. Insulin may become necessary if control is insufficient.","Yes, it's a progressive disease and insulin is always the last step in treatment.",It depends on their age; older people will certainly need insulin.
46,What to do about skin infections in diabetics?,Using special moisturizing creams for diabetics is enough to prevent and treat them.,You need to drain skin infections to remove the pus and speed up healing.,"Control your blood sugar, maintain hygiene, and consult a doctor to treat skin infections.",Drinking lots of water and eating less sugar will solve the problem of skin infections.
47,"CAN TYPE II DIABETES BE ""CURED"" OR ONLY MANAGED?",It can be permanently reversed with certain natural supplements or extreme diets.,"Yes, by eating much less sugar, you can get rid of it completely.",Type 2 diabetes cannot be cured; you must learn to live with it.,It's a temporary disease that disappears with age if you are careful.
48,WHAT IS THE IMPACT OF ANOTHER ILLNESS ON A PERSON WITH DIABETES?,"Another illness has no impact on diabetes, as they are independent of each other.",Another illness can worsen diabetes. Monitor your blood sugar and consult your doctor.,Any other illness will automatically make diabetes much easier to manage.,"Having another illness protects a person with diabetes, as the body focuses on the new illness."
49,WHY DO I KEEP GOING TO THE TOILET EVERY HOUR? WHY AM I ALWAYS TIRED?,It's just a sign that you are very stressed right now.,"Frequent urination and fatigue can be due to various causes, including diabetes. Consult your doctor for an accurate diagnosis.","It's normal to have these symptoms with age.""",You probably drank too much water before sleeping.
50,Will diabetes be TRANSMITTED TO MY CHILDREN?,"Diabetes is a disease of older people, so children cannot catch it.","Diabetes is caused by excessive sugar consumption, so if parents eat too much sugar, children will get it too.",Diabetes is like a cold; it can be transmitted through close contact.,Genetics play an important role in the transmission of diabetes.
51,HOW WELL AM I MANAGING MY DIABETES?,"Managing your diabetes well involves medication, sugar monitoring, a healthy diet, exercise, blood pressure/cholesterol control, quitting smoking, and foot care.",You are managing your diabetes well if you never eat sugar.,You are managing your diabetes well if you avoid carbohydrates at all costs.,You are managing your diabetes well if you don't feel sick.
52,DOES DIABETES HAVE A LIFESPAN?,"Diabetes is a chronic disease with no lifespan, requiring lifelong treatment.","Yes, diabetes has a ""duration"" of a few years, then it becomes less severe.","Yes, diabetes can be cured with strong medications for a certain period.","Yes, diabetes disappears after a few years if you follow a strict diet."
53,HOW OFTEN SHOULD I MEASURE MY BLOOD SUGAR?,"I must measure my blood sugar always at the same time each day, regardless of meals or activities.","Measure your blood sugar before and after each meal, and more often if necessary (exercise, feeling unwell, etc.). Consult your doctor for a personalized plan.","Once a week is enough, as diabetes doesn't change much from day to day.",It is not necessary to measure your blood sugar if you feel well; only a doctor can do it with a blood test.
54,"WHEN MY BLOOD SUGAR LEVEL IS HIGH, SHOULD I TAKE INSULIN TO LOWER IT?",Just eating less will make your blood sugar level go down on its own.,"If you are a diabetic on insulin, yes. Otherwise, a healthy diet, exercise, and stress management help lower blood sugar.",You should drink lots of sugary water to balance the sugar in your blood.,Taking a heart pill will help lower your blood sugar level.
55,IS SUGAR STRICTLY FORBIDDEN OR ALLOWED IN MODERATION?,Only natural sugars like honey and fruits are allowed; white sugar is strictly forbidden.,Diabetics can eat as much sugar as they want as long as they take their medication on time.,"Sugar is not forbidden, but to be consumed in moderation, prioritizing sugars with a low glycemic index and limiting added sugars.",Sugar is completely forbidden for diabetics to avoid any increase in blood sugar level.
56,how to UNDERSTAND CARBOHYDRATE INTAKE VERSUS INSULIN DOSE?,The number of carbohydrates doesn't really matter as long as you exercise regularly.,You just need to feel if you need more insulin after a meal based on how you feel.,Understanding the insulin-to-carb ratio and adjusting insulin dose based on fasting blood sugar is essential for managing carbohydrate intake.,"You just need to take the same amount of insulin every day, regardless of what you eat."
57,WHY DO SOME DIABETIC PATIENTS REQUIRE AMPUTATION?,"It's because sugar in the blood eats away at the bones and muscles, making them too weak to support the body.",It's the only way to stop diabetes from spreading throughout the body.,It's a side effect of certain diabetes medications that can damage tissues.,"Amputation in diabetics is due to poor circulation or sensation in the legs, causing non-healing wounds that become infected."
58,I WOULD LIKE TO KNOW THE DO'S AND DON'TS IN THE AREA OF DIET for a diabetic?,"Eat a balanced diet, rich in fiber and omega-3 (vegetables, whole grains, fish). Limit sugar, salt, fat. 3 regular meals.","Eating lots of fruit is always good for diabetics, regardless of the type or quantity.","Diabetics should only eat low-sugar foods, even if that means eliminating entire food groups.",It is better for diabetics to eat one or two large meals a day to control their blood sugar.
59,WHERE ON MY BODY CAN I GIVE MYSELF INJECTIONS?,"Inject into the arm, thigh, or abdomen, where there is fat under the skin.","Only in the veins, like for blood draws.","Anywhere, as long as the needle goes in.","Only in the muscle, so the medication acts quickly."
60,WHAT ARE THE COMPLICATIONS THAT DIABETES CAN CAUSE?,"Diabetes can lead to eye, kidney, nerve, and cardiovascular complications.",Diabetes weakens your bones and causes severe arthritis.,Diabetes can cause constant headaches and make you lose weight quickly.,Diabetes always causes skin rashes and makes your hair gray prematurely.
61,Under what circumstances should diabetics inject insulin?,"Diabetics inject insulin when their blood sugar is too high, especially type 1 diabetics.",Diabetics should only inject insulin if they have eaten a lot of sugar during the day.,"Diabetics must inject insulin every morning on an empty stomach, regardless of their blood sugar level.",Diabetics should only inject insulin if they feel tired or weak.
62,"Is diabetes a disease that can be overcome, or once a person has it, do they have it for life?","Diabetes is a chronic disease that is not cured, but can be treated and controlled.",Type 2 diabetes can be completely cured with a strict diet and exercise.,Diabetes is only temporary and generally disappears with age.,Type 1 diabetes can be cured with herbal treatments.
63,"What kind of special diet should a person with diabetes follow, and are there foods they cannot consume at all?","A strict sugar-free diet is mandatory, and they absolutely cannot eat anything containing sugar, even naturally.","Prioritize a balanced diet, rich in fiber and healthy fats, limiting sugars and fats. No food is forbidden, but some should be consumed in moderation to stabilize blood sugar.","They must eat mainly lean protein and avoid all carbohydrates, including fruits and vegetables.","A precise and identical diet must be followed for all diabetics, completely eliminating fats."
64,Under what circumstances is a ketogenic diet an effective treatment FOR diabetics?,"When it helps with rapid weight loss, which is good for diabetes.",Not recommended for diabetics.,When the diabetic wants to reduce their dependence on medication.,If the diabetic has difficulty controlling their blood sugar with other diets.
65,What are the first symptoms of diabetes?,Generalized muscle and joint pain.,Dizziness and nausea after meals.,"Fever and chills, like during the flu.","Fatigue, intense thirst, frequent urge to urinate, weight loss, blurred vision, slow wound healing, and recurrent infections can be the first symptoms of diabetes."
66,How can one contract diabetes so late in life? Does eating a lot of sweets cause diabetes?,"Eating too many carbohydrates, not just sweets, is the only cause of diabetes.",Late-onset diabetes is caused by stress and lack of sleep that exhaust the body.,"Late-onset diabetes is linked to genetics, lifestyle, or illnesses. Eating too much sugar is not the direct cause but promotes insulin resistance.","Late-onset diabetes simply happens with age, it's a normal part of aging."
67,"Besides candy and other foods high in sugar, what foods should diabetics avoid?","Foods without added sugar, because they contain dangerous artificial sweeteners.","Water, because it dilutes insulin in the blood.","Leafy green vegetables, because they are very sugary.","Avoid white bread/rice/pasta, refined cereals, syrupy fruits, processed meats, cheese, butter, fatty meats."
68,On what part of the body do diabetics inject insulin?,"Diabetics inject insulin under the skin (abdomen, thighs, arms, buttocks) with a pen, syringe, or pump.",Diabetics inject insulin directly into their veins so it acts faster.,Insulin is a medication that is applied to the skin like a cream.,Insulin is taken by mouth because it is less painful than an injection.
69,Does cholesterol play a role in the diagnosis of diabetes?,"Cholesterol is an important cardiovascular risk factor in diabetes, with specific target levels for LDL and HDL.",Cholesterol has no link with diabetes; they are two completely different diseases.,"High cholesterol level means the body produces too much insulin, which is a sign of diabetes.","Cholesterol is the main culprit for diabetes, so its high level confirms the diagnosis."
70,What is it about obesity that makes one more vulnerable to type 2 diabetes?,"Obesity slows down blood circulation, which prevents the body from using sugar properly.","Fat cells absorb all the sugar, leaving not enough for the body, causing diabetes.","Excess weight forces the pancreas to produce too much sugar, which causes diabetes.","Obesity, especially abdominal obesity, causes insulin resistance, making the body less effective at regulating blood sugar and increasing the risk of type 2 diabetes."
71,To what extent will you have to change your lifestyle to deal with diabetes?,The only necessary change is to take insulin injections every day.,Diabetes is not a serious illness and does not require significant lifestyle changes.,"Adopt a healthy diet, exercise, quit smoking/drinking, and follow your treatment to manage diabetes and prevent complications.","You can continue to eat and drink whatever you want, as long as you take your medication."
72,Can a change in diet prevent the onset of diabetes in someone genetically predisposed to contracting it?,"Yes, if you remove all sugar from your diet, diabetes will not develop.","No, genetics is the only determining factor and diet has no influence.","Diabetes can only be prevented by medication, not by a change in diet.","Yes, a healthy diet and exercise can reduce the risk of diabetes, even with a genetic predisposition."
73,What role does increased fat mass play in increasing the risk of diabetes?,"Having more fat makes the body less efficient at burning calories, which forces the pancreas to produce too much insulin and exhausts it.","Excess fat, especially abdominal fat, causes insulin resistance, increasing blood glucose and the risk of diabetes.","Fat blocks blood circulation, which prevents sugar from reaching muscles to be used and causes it to build up in the blood.","Increased fat mass slows down digestion, causing sugar to stay in the blood longer and increasing the risk of diabetes."
74,What is the average weight of a person diagnosed with type 2 diabetes?,"Average weight varies, but abdominal obesity is a risk. Losing 5-10% of weight improves blood sugar, through a balanced diet and exercise.","Average weight is difficult to determine, but it is likely similar to that of the general population.","People with type 2 diabetes are always overweight or obese, so their average weight is very high.","People with type 2 diabetes are often thin, as their body cannot store fat properly, so their average weight is low."
75,What types of food should people with type 2 diabetes avoid?,"People with type 2 diabetes should avoid eating proteins like meat and eggs, as this can affect their blood sugar.","Avoid added sugars, saturated fats, and white flour to control blood sugar and heart risks.","People with type 2 diabetes should avoid eating starchy vegetables like potatoes, as they are bad for blood sugar.",People with type 2 diabetes must avoid all fruits because they contain a lot of natural sugar.
76,What preventive measures should be taken if your family is known to have diabetes?,Eating lots of fruits and vegetables without worrying about the rest of your diet protects against diabetes.,Getting vaccinated against diabetes completely prevents the disease.,Drinking sugar-free sodas instead of regular sodas is enough to prevent diabetes.,"Adopt a healthy diet, exercise, maintain a healthy weight, and monitor your blood sugar to prevent diabetes if you have a family history."
77,"If I contract diabetes, is it true that I can fight it with an excellent diet instead of taking medication?",A good diet can replace insulin for type 1 diabetes.,Only carbohydrates are important to control in the diet to manage diabetes.,"Yes, a strict diet can completely cure diabetes, making medication unnecessary.","Diet alone is not enough to fight type 2 diabetes; it often requires medication, exercise, and medical follow-up."
78,"Can surgery be performed to ""repair"" the cause of diabetes?","Pancreatic cell transplantation can ""repair"" the cause of diabetes, but it is experimental and carries risks.","Yes, the part of the pancreas that is not working well can be removed to cure diabetes.","No, diabetes is caused by sugar and surgery cannot change that.","Yes, the liver can be operated on because it controls blood sugar."
79,Is there a symptom or group of symptoms that a person can experience very early on that announces the onset of diabetes?,"Yes, the only early sign of diabetes is a sensation of intense cold and unexplained trembling.","Yes, a persistent metallic taste in the mouth is a sure sign of the onset of diabetes.","Fatigue, intense thirst, frequent urination, weight loss, blurred vision, or infections can signal diabetes.","No, diabetes has no symptoms at the beginning; it is always discovered by chance during a routine examination."
80,"How has daily maintenance, blood sugar checks, and medication administration changed for diabetics over the past ten years?",Diabetics can now eat whatever they want as long as they take their medication.,Diabetics no longer need to check their blood sugar as often thanks to new medications.,"Diabetes care has evolved with technology (pumps, sensors) and new recommendations for better management.","Diabetes medications are now all in pill form, so injections are no longer necessary."
81,What is the life expectancy of a person with type 2 diabetes?,People with type 2 diabetes generally live the same lifespan as others.,"Type 2 diabetes can reduce life expectancy by about 10 years, but a healthy lifestyle and good control can improve it.",Type 2 diabetes shortens life by only one or two years at most.,Type 2 diabetes has no significant impact on life expectancy if one takes their medication.
82,My mother has type 2 diabetes. Does this increase my risk?,"Yes, type 2 diabetes has a significant family factor. The risk is about 40% if one parent is affected, and 70% if both are.","Yes, but only if you eat the same things as your mother.","No, diabetes is caused by a poor diet, not by genetics.","No, type 2 diabetes is a disease that affects only older people, not young people."
83,Can diabetes affect a person's mood? What are the first symptoms of diabetes?,"Diabetes affects mood, but the initial symptoms are only thirst and fatigue.","Yes, diabetes affects mood (irritability, anxiety) and initial symptoms include excessive thirst, fatigue, and frequent urination.","No, diabetes does not affect mood; it's a purely physical disease related to sugar.","Yes, diabetes always makes people sad and the initial symptoms are constant hunger."
84,"Can type II diabetes be reversed or cured, for example, by changing one's diet and becoming healthier?","No, once you have type 2 diabetes, there is absolutely nothing you can do to improve your condition.","Yes, just follow a strict diet for a few months to get rid of it permanently.","Type 2 diabetes cannot be cured, but controlled by a healthy lifestyle (diet, exercise) and medication to avoid complications.","Yes, if you stop eating sugar completely, your pancreas will function normally again."
85,Have new medications to treat diabetes been approved in recent years?,"Yes, new medications like tirzepatide, PATAS and linagliptin have been approved, offering new options for type 2 diabetes.","Yes, but only for type 1 diabetes; treatments for type 2 are the same as before.","Yes, but these are mainly natural remedies or food supplements that have been approved, not real medications.","No, diabetes treatments haven't changed much in years; insulin and old pills are still used."
86,"I know that physical exercise can be beneficial for diabetes, but are there specific exercises that yield better results?",Just doing light movements with the arms and legs for a few minutes each day is enough.,Only very intense exercise like running a marathon can truly help control diabetes.,"30 mins/day of moderate to intense activity (walking, swimming, strength training) is beneficial for diabetes. Adapt to your level and treatment.",Physical exercise is only beneficial for diabetes if you lose a lot of weight quickly.
87,Can a low-carbohydrate diet reverse the course of type 2 diabetes?,"Yes, a low-carbohydrate diet reverses type 2 diabetes very quickly, usually within a few days, and people can then return to a normal diet without risk.","Yes, a low-carbohydrate diet definitively cures type 2 diabetes by completely eliminating the need for insulin and medication.","A low-carbohydrate diet can help some diabetics lower their blood sugar, but consult a doctor before adopting it.","No, a low-carbohydrate diet has no impact on type 2 diabetes, as the problem is related to the body's inability to produce insulin, not to carbohydrate consumption."
88,Does prediabetes always turn into diabetes?,"No, prediabetes does not always progress to diabetes. A healthy lifestyle can prevent or delay its onset.","Yes, once you have prediabetes, there is nothing you can do to stop it.","Yes, prediabetes is just another name for early-stage diabetes.","No, prediabetes is just a temporary problem that goes away on its own."
