id,Question,A,B,C,D
12,"AU COURS DES SIX DERNIERS MOIS, J'AI CONSTATÉ QUE J'OUBLIAIS DE PLUS EN PLUS DE CHOSES. CELA PEUT-IL ÊTRE ATTRIBUÉ À MON DIABÈTE ?","Oui, le diabète, surtout mal contrôlé, peut affecter la mémoire. Consultez votre médecin.","Le diabète n'affecte que votre taux de sucre dans le sang, pas votre mémoire.","Les oublis font partie du vieillissement normal, pas du diabète.","Votre glycémie est trop basse, ce qui perturbe temporairement votre cerveau."
13,JE FAIS ACTUELLEMENT L'OBJET D'UN EXAMEN POUR UNE ÉVENTUELLE APNÉE DU SOMMEIL. CELA POURRAIT-IL ÊTRE LIÉ AU DIABÈTE ?,"Oui, l'apnée du sommeil est liée au diabète de type 2, souvent à cause du surpoids. Elle peut aussi compliquer la gestion de votre diabète.","Non, l'apnée du sommeil est un problème pulmonaire et le diabète est un problème de sucre dans le sang, ils n'ont aucun lien.","L'apnée du sommeil est causée par le diabète de type 1, car les personnes minces atteintes de diabète de type 1 ont souvent des problèmes respiratoires.",Seul le diabète gestationnel chez les femmes enceintes peut être lié à l'apnée du sommeil en raison des changements hormonaux.
14,Mon taux de glycémie est ÉLEVÉ DEPUIS LONGTEMPS LES EFFETS SECONDAIRES PEUVENT-ILS ÊTRE AMÉLIORÉS À NOUVEAU ?,"Oui, contrôler votre glycémie par régime, exercice et traitement peut améliorer les complications du diabète.",Les effets secondaires disparaissent d'eux-mêmes avec le temps.,Il suffit de boire beaucoup d'eau pour faire baisser la glycémie.,Les complications du diabète ne touchent que les personnes âgées.
15,Y AURA-T-IL UN REMÈDE contre le diabète?,Le diabète est une maladie chronique qui se traite mais ne se guérit pas encore. La recherche d'un remède est en cours.,"Oui, une nouvelle pilule magique a été découverte qui guérit le diabète du jour au lendemain.","Le diabète disparaît tout seul si on mange beaucoup de sucre pour ""équilibrer"" le corps.","Seuls les enfants développent le diabète, et il disparaît lorsqu'ils vieillissent."
16,EST-CE QUE JE PEUX AVOIR UN IMPLANT QUI FAIT L'INSULINE À MA PLACE ?,"Oui, des implants expérimentaux existent pour délivrer l'insuline automatiquement en détectant votre glycémie, mais ils ne sont pas encore disponibles pour le public.","Non, le corps ne peut pas accepter un remplacement d'organe comme le pancréas qui produit l'insuline.","Oui, mais seulement si le diabète est léger et que l'implant n'a pas besoin de produire beaucoup d'insuline.","Non, il n'existe pas d'implant pour produire de l'insuline, seule une injection peut le faire."
17,LA GLANDE PEUT-ELLE RECOMMENCER À FONCTIONNER ?,"Oui, une glande peut recommencer à fonctionner si la cause du dysfonctionnement est traitée, mais pas toujours.","Oui, si vous mangez certains aliments comme du miel ou du curcuma, cela peut stimuler la glande et la faire refonctionner.","Non, une fois qu'une glande arrête de fonctionner, elle est endommagée de façon permanente et ne peut jamais se rétablir.","Oui, il suffit de masser la zone où se trouve la glande ou de prendre des suppléments vitaminiques pour l'aider à redémarrer."
18,POURQUOI LE STRESS FAIT-IL AUGMENTER MA GLYCÉMIE ?,Le stress augmente la glycémie en libérant des hormones qui stimulent la production de glucose et réduisent la sensibilité à l'insuline.,Le stress fait augmenter la glycémie parce qu'il donne plus envie de manger des aliments sucrés.,Le stress fait augmenter la glycémie car il ralentit la digestion et l'absorption des sucres.,"Le stress fait augmenter la glycémie parce qu'il épuise le corps, l'empêchant d'utiliser correctement le sucre."
19,UNE POMPE À INSULINE PEUT-ELLE AIDER À MIEUX CONTRÔLER LA GLYCÉMIE QUE LES STYLOS À INSULINE ?,"Oui, une pompe à insuline peut mieux contrôler la glycémie en délivrant de l'insuline en continu et en s'adaptant au mode de vie, avec moins d'injections.",Une pompe à insuline est toujours plus efficace car elle utilise un type d'insuline différent et plus puissant que les stylos.,Les pompes à insuline sont préférables car elles éliminent complètement le besoin de contrôler la glycémie soi-même.,"Les pompes à insuline sont plus chères, donc elles doivent être plus efficaces pour justifier leur coût élevé."
20,POURQUOI MES MAINS ET MES PIEDS SONT-ILS SI AFFECTÉS dans le diabète?,"High blood sugar damages nerves and vessels in hands/feet, causing numbness, poor healing, and infection risk.","Le diabète affaiblit les os des mains et des pieds, les rendant plus fragiles et sensibles.","Le diabète provoque une mauvaise circulation générale du sang dans tout le corps, ce qui affecte le plus les extrémités.",Les médicaments contre le diabète ont des effets secondaires qui touchent principalement les mains et les pieds.
21,EST-CE QUE J'ARRÊTERAI UN JOUR DE PRENDRE DE L'INSULINE ET DES COMPRIMÉS EN MÊME TEMPS ?,"Type 1 requires lifelong insulin. Type 2 may stop insulin if controlled, but may need it later. Always consult your doctor before changing treatment.","Oui, si vous arrêtez de manger du sucre, vous n'aurez plus besoin d'insuline ou de comprimés.","Oui, si vous faites beaucoup de sport, votre corps produira suffisamment d'insuline pour que vous puissiez arrêter.","Oui, après quelques années, le diabète disparaît et vous n'aurez plus besoin de traitement."
22,QUE DIRE D'UNE POMPE À INSULINE?,"Une pompe à insuline délivre l'insuline en continu ou sur demande pour mieux contrôler la glycémie, alternative aux injections.",Une pompe à insuline est un appareil qui mesure le taux de sucre dans le sang et injecte automatiquement l'insuline nécessaire.,Une pompe à insuline est un type de traitement qui remplace complètement les médicaments oraux pour le diabète de type 2.,Une pompe à insuline est un dispositif qui aide à digérer le sucre plus rapidement pour qu'il ne reste pas dans le sang.
23,Quels sont les SITES D'INJECTION,"L'insuline s'injecte sous la peau dans 4 zones : abdomen, bras, fesse et cuisse.",L'insuline est injectée directement dans une veine pour agir rapidement.,Seule la région du cœur est un site d'injection d'insuline.,L'insuline est injectée sous la langue pour être absorbée.
24,Comment puis-je éviter les ECCHYMOSes ?,"Appliquez du froid, évitez la chaleur, surélevez et reposez la zone. Arnica, vitamine K ou aloe vera peuvent aider.","Pour éviter les ecchymoses, il faut se masser très fort dès que l'on se cogne.",Il faut appliquer de la chaleur immédiatement pour faire disparaître le bleu plus vite.,"Les ecchymoses sont un signe que l'on manque de calcium, il faut en prendre plus."
25,LES RÉSULTATS ÉLEVÉS DE LFT SONT-ILS DUS AU DIABÈTE ?,"Le diabète peut élever les LFT, mais d'autres causes existent. Consultez un médecin pour un diagnostic précis.","Oui, le diabète provoque toujours des résultats élevés aux tests de la fonction hépatique parce que le sucre attaque directement le foie.","Non, des tests hépatiques élevés sont seulement liés à la consommation d'alcool, pas au diabète.","Non, le diabète affecte uniquement les reins et les yeux, pas le foie."
26,QUELLES SONT LES IMPLICATIONS À LONG TERME D'UN TAUX DE GLUCOSE ÉLEVÉ?,"Un taux de glucose élevé peut endommager reins, yeux, nerfs, cœur et causer fatigue, soif, urines abondantes, perte de poids.",Un taux de glucose élevé peut vous rendre plus susceptible d'attraper des rhumes.,Avoir un taux de glucose élevé signifie que vous avez naturellement plus d'énergie.,Un taux de glucose élevé vous fait prendre du poids rapidement et sans effort.
27,COMMENT PRÉVENIR la PROGRESSION du diabète ?,"Mode de vie sain: alimentation équilibrée, activité physique, arrêt tabac, contrôle poids/tension/cholestérol/glucose, gestion stress/sommeil préviennent progression du diabète.",Prendre des vitamines régulièrement peut suffire à empêcher le diabète de s'aggraver.,"Le diabète est génétique, donc on ne peut rien faire pour en prévenir la progression.","Il suffit de prendre des médicaments pour le diabète pour éviter qu'il ne s'empire, sans changer ses habitudes."
28,"SI LA glycémie EST ÉLEVÉE, QUE DOIS-JE FAIRE ?","Surveillez alimentation, faites de l'exercice, contrôlez votre glycémie et consultez un médecin.","Manger un bonbon pour équilibrer le taux de sucre, cela va le faire descendre.",Boire beaucoup d'eau sucrée aide à diluer le sucre dans le sang.,"Il suffit de se reposer, le corps va réguler tout seul le taux de sucre."
29,"Pourquoi ma glycémie n'est jamais CONSTANTE, TOUJOURS EN HAUSSE ET EN BAISSE?","Votre glycémie varie selon alimentation, activité, stress, etc. Maintenez-la dans la normale pour éviter complications (hypo/hyperglycémie).",C'est parce que ton pancréas est fatigué et ne produit plus d'insuline.,Cela signifie que ton corps se bat contre une infection.,Tes variations sont normales tant que tu ne te sens pas mal.
30,"COMMENT ÉQUILIBRER L'ALIMENTATION, L'ACTIVITÉ ET L'INSULINE, EN PARTICULIER LORSQUE L'ACTIVITÉ PROFESSIONNELLE N'EST PAS CONSTANTE ?","Équilibrez alimentation variée (glucides lents), activité physique régulière et ajustez l'insuline avec un professionnel, surtout si votre travail varie.",Il suffit de manger moins les jours où l'on est moins actif professionnellement pour compenser.,"L'important est de prendre toujours la même dose d'insuline à la même heure, peu importe l'activité.",On peut manger ce que l'on veut tant que l'on fait plus d'exercice pour brûler les calories supplémentaires.
31,QUELLES SONT LES PRINCIPALES AVANCÉES EN MATIÈRE DE SOINS ET QUAND LES PATIENTS POURRONT-ILS EN BÉNÉFICIER ?,Nouvelles associations médicamenteuses pour le diabète : insuline basale + GLP-1 et iDPP-4 + iSGLT2 (ces derniers non encore en France).,Il y aura de nouvelles pilules sucrées qui remplaceront l'insuline.,Les patients pourront bientôt manger tout ce qu'ils veulent grâce à de nouveaux médicaments.,On pourra guérir le diabète en buvant une nouvelle boisson spéciale.
32,QUELS SONT LES EFFETS SECONDAIRES GRAVES DES MÉDICAMENTS POUR LE DIABÈTE ?,"Effets secondaires graves rares: acidocétose diabétique, gangrène de Fournier. Autres: hypoglycémie, vomissements, douleurs, infections, diarrhée.",Les médicaments pour le diabète peuvent rendre les os fragiles et causer des fractures.,Prendre des médicaments pour le diabète peut endommager le foie et les reins avec le temps.,Les médicaments pour le diabète peuvent provoquer des éruptions cutanées généralisées et des démangeaisons intenses.
33,QU'EST-CE QUE LA MYOPATHIE ET Y A-T-IL QUELQUE CHOSE QUE JE PUISSE FAIRE POUR Y REMÉDIER ?,"La myopathie affecte les muscles, rendant les activités quotidiennes difficiles. Le traitement varie selon le type et la gravité.",La myopathie est une infection fongique de la peau qui peut être traitée avec des crèmes en vente libre.,"La myopathie est un problème avec les nerfs qui provoque des picotements dans les mains et les pieds, et elle disparaît avec le temps.","La myopathie est un terme fantaisiste pour les courbatures, et elle s'améliore avec du repos et des analgésiques."
34,EXISTE-T-IL UNE ALTERNATIVE À L'INSULINE ?,"Oui, des alternatives à l'insuline existent, comme des médicaments oraux ou la leptine, mais leur efficacité varie et elles ne conviennent pas à tous. Consultez votre médecin.","Non, l'insuline est le seul traitement pour le diabète.","Oui, on peut remplacer l'insuline par un simple régime alimentaire et de l'exercice.","Oui, il existe des remèdes à base de plantes qui guérissent complètement le diabète sans avoir besoin d'insuline."
35,"PUIS-JE PRENDRE MON ""FOND"" À UN AUTRE MOMENT DE LA JOURNÉE POUR OBTENIR UN MEILLEUR CONTRÔLE ?","Non, prenez votre insuline basale toujours à la même heure chaque jour.","Oui, changer l'heure de la prise peut aider votre corps à mieux absorber le médicament.","Peut-être, si vous prenez votre ""fond"" avant un repas copieux, cela peut stabiliser votre glycémie.","Cela dépend, si vous avez des symptômes élevés, vous pouvez le prendre plus tôt pour un soulagement rapide."
36,EXISTE-T-IL DES MOYENS PLUS SIMPLES DE CONTRÔLER LA GLYCÉMIE ?,"Contrôlez votre glycémie simplement : surveillez-la, mangez équilibré (fibres, faible IG), bougez et suivez votre traitement.",Manger uniquement des fruits et légumes vous garantira une glycémie normale sans effort.,Sauter des repas est un bon moyen de baisser votre glycémie rapidement.,Boire beaucoup d'eau peut à lui seul remplacer la nécessité d'un traitement ou d'un régime spécifique.
37,"COMMENT RÉDUIRE RÉELLEMENT MON TAUX D'INSULINE DE FOND - EXERCICE, RÉGIME, PERTE DE POIDS?",Exercice régulier et régime adapté réduisent l'insuline de fond.,Manger beaucoup d'aliments sucrés pour que le corps produise moins d'insuline.,Prendre des douches froides régulières pour stimuler le métabolisme.,"Boire beaucoup d'eau citronnée pour ""nettoyer"" le système et réduire les besoins en insuline."
38,Comment gérer la RÉSISTANCE À L'INSULINE?,"Gérer la résistance à l'insuline implique une alimentation saine, l'exercice régulier, un bon sommeil, et parfois des médicaments comme la metformine.",Manger beaucoup de sucre pour que le corps produise plus d'insuline et combatte la résistance.,"Éviter complètement tous les glucides, car ils sont la seule cause de la résistance à l'insuline.",Boire beaucoup de jus de fruits car ils sont sucrés et donnent de l'énergie aux cellules.
39,Quel est la NÉCESSITÉ D'UNE ROTATION PLUS FRÉQUENTE DES SITES?,"Rotating injection sites prevents bruising, infection, inflammation, fat deposits, and absorption issues.",C'est pour éviter que l'insuline ne devienne moins efficace avec le temps.,C'est pour donner un repos aux muscles après l'injection.,C'est pour que le corps ne s'habitue pas trop vite à l'insuline.
40,"Y-A-T-IL des INFORMATIONS SUR LES PROGRÈS RÉALISÉS EN MATIÈRE DE GUÉRISON, DE TRANSPLANTATION, ETC?",La transplantation de pancréas est un traitement salvateur pour le diabète.,"Oui, de nouvelles pilules peuvent guérir le diabète en quelques semaines.",On peut guérir le diabète en mangeant certains aliments et en faisant de l'exercice.,La guérison du diabète est imminente grâce à une nouvelle thérapie génique.
41,Y-A-T-IL une POSSIBILITÉ QUE LES ENFANTS SOIENT ATTEINTS DE DIABÈTE héréditaire ?,"Oui, le diabète de type 1 est héréditaire, mais le risque de transmission aux enfants est faible.","Non, le diabète est une maladie qui ne touche que les adultes.","Oui, mais seulement si les deux parents ont le diabète.","Non, le diabète chez les enfants est toujours causé par une mauvaise alimentation."
42,COMMENT AI-JE PU CONTRACTER LE DIABÈTE sans JAMAIS être en SURPOIDS et avec une bonne TENSION ARTÉRIELLE ?,"Le diabète de type 2 peut être causé par la génétique, la sédentarité, une mauvaise alimentation ou le vieillissement, même sans surpoids ni hypertension.","Vous avez peut-être mangé trop de sucre d'un coup, ce qui a surchargé votre pancréas et causé le diabète.",Le diabète peut être une maladie contagieuse que vous avez attrapée d'une autre personne.,"C'est probablement lié au stress, le stress chronique peut dérégler votre taux de sucre."
43,QUEL EST LE RISQUE D'ENDOMMAGER DES ORGANES CHEZ une persone diabétique?,"L'hyperglycémie chronique endommage les vaisseaux sanguins et affecte reins, yeux, nerfs, cœur et artères.","C'est surtout un problème de sucre dans le sang qui rend les gens fatigués, mais ça n'abîme pas vraiment les organes.","Le diabète endommage les organes principalement parce que le corps ne peut plus produire suffisamment d'insuline, ce qui entraîne une mauvaise digestion.","Le risque est surtout lié au surpoids, le diabète en lui-même ne cause pas directement de dommages aux organes."
44,EST CE QUE LA VUE SE DÉTÉRIORE PLUS RAPIDEMENT EN CAS DE DIABÈTE?,"Oui, le diabète peut endommager l'œil (rétine, cristallin, etc.), causant une perte de vision progressive. Un bon contrôle glycémique et des examens oculaires réguliers sont essentiels.","Non, la vue ne se détériore pas plus rapidement en cas de diabète ; c'est un mythe.","Non, la détérioration de la vue est due au vieillissement normal, pas au diabète.","Oui, mais seulement si vous ne portez pas de lunettes adaptées à votre vue."
45,EST-CE QUE TOUS LES PATIENTS diabétiques de TYPE 2 FINIRONT PAR PASSER À L'INSULINE?,"Non, pas tous. Certains contrôlent leur diabète de type 2 avec mode de vie et médicaments oraux. L'insuline peut devenir nécessaire si le contrôle est insuffisant.","Oui, c'est une maladie progressive et l'insuline est toujours la dernière étape du traitement.",Seulement si leur diabète est très grave et qu'ils ne suivent pas les conseils du médecin.,"Cela dépend de leur âge, les personnes plus âgées auront certainement besoin d'insuline."
46,Que faire contre les infections de la peau chez le diabétique ?,"Contrôlez votre glycémie, respectez l'hygiène et consultez un médecin pour traiter les infections cutanées.",Utiliser des crèmes hydratantes spéciales pour diabétiques suffit à les prévenir et à les traiter.,Il faut percer les infections de la peau pour évacuer le pus et accélérer la guérison.,Boire beaucoup d'eau et manger moins de sucre résoudra le problème des infections cutanées.
47,"LE DIABÈTE DE TYPE II PEUT-IL ÊTRE ""GUÉRI"" OU SEULEMENT PRIS EN CHARGE?","Le diabète de type 2 ne peut pas être guéri, il faut apprendre à vivre avec.","Oui, en mangeant beaucoup moins de sucre, on peut s'en débarrasser complètement.",C'est une maladie temporaire qui disparaît avec l'âge si on fait attention.,On peut l'inverser définitivement avec certains suppléments naturels ou régimes extrêmes.
48,QUEL EST L'IMPACT D'UNE AUTRE MALADIE SUR UNE PERSONNE ATTEINTE DE DIABÈTE?,Une autre maladie peut aggraver le diabète. Surveillez votre glycémie et consultez votre médecin.,"Une autre maladie n'a aucun impact sur le diabète, car elles sont indépendantes l'une de l'autre.",Toute autre maladie rendra automatiquement le diabète beaucoup plus facile à gérer.,"Avoir une autre maladie protège une personne atteinte de diabète, car le corps se concentre sur la nouvelle maladie."
49,POURQUOI JE CONTINUE À ALLER AUX TOILETTES TOUTES LES HEURES POURQUOI JE SUIS TOUJOURS FATIGUÉE?,"Envie fréquente d'uriner et fatigue peuvent être dues à diverses causes, dont le diabète. Consultez votre médecin pour un diagnostic précis.",Vous avez probablement bu trop d'eau avant de dormir.,C'est juste le signe que vous êtes très stressé en ce moment.,C'est normal d'avoir ces symptômes avec l'âge.
50,Le diabète SERA-T-IL TRANSMIS À MES ENFANTS ?,La génétique joue un rôle important dans la transmission du diabète.,"Le diabète est comme un rhume, il peut se transmettre par contact étroit.","Le diabète est provoqué par la consommation excessive de sucre, donc si les parents mangent trop de sucre, les enfants l'auront aussi.","Le diabète est une maladie des personnes âgées, donc les enfants ne peuvent pas l'attraper."
51,DANS QUELLE MESURE EST-CE QUE JE GÈRE BIEN MON DIABÈTE ? ,"Bien gérer votre diabète implique médicaments, surveillance du sucre, alimentation saine, exercice, contrôle tension/cholestérol, arrêt tabac et soin des pieds.",Vous gérez bien votre diabète si vous ne mangez jamais de sucre.,Vous gérez bien votre diabète si vous ne vous sentez pas malade.,Vous gérez bien votre diabète si vous évitez les glucides à tout prix.
52,LE DIABÈTE A-T-IL UNE DURÉE DE VIE ?,"Le diabète est une maladie chronique sans durée de vie, nécessitant un traitement à vie.","Oui, le diabète disparaît après quelques années si vous suivez un régime strict.","Oui, le diabète peut être guéri avec des médicaments forts pendant un certain temps.","Oui, le diabète a une ""durée"" de quelques années, puis il devient moins grave."
53,A QUELLE FRÉQUENCE DOIS-JE MESURER MA GLYCÉMIE ?,"Mesurez votre glycémie avant et après chaque repas, et plus souvent si nécessaire (exercice, malaise, etc.). Consultez votre médecin pour un plan personnalisé.","Une fois par semaine suffit, car le diabète ne change pas beaucoup d'un jour à l'autre.","Il n'est pas nécessaire de mesurer sa glycémie si l'on se sent bien, seul un médecin peut le faire avec un test sanguin.","Je dois mesurer ma glycémie toujours à la même heure chaque jour, indépendamment des repas ou des activités."
54,"LORSQUE MON TAUX DE GLYCÉMIE EST ÉLEVÉ, DOIS-JE PRENDRE DE L'INSULINE POUR LE FAIRE BAISSER ?","Si vous êtes diabétique sous insuline, oui. Sinon, alimentation saine, exercice et gestion du stress aident à baisser la glycémie.",Vous devriez boire beaucoup d'eau sucrée pour équilibrer le sucre dans votre sang.,Il suffit de manger moins pour que votre taux de glycémie redescende tout seul.,Prendre une pilule pour le cœur aidera à faire baisser votre taux de sucre.
55,LE SUCRE EST-IL STRICTEMENT INTERDIT OU AUTORISÉ AVEC MODÉRATION ? ,"Le sucre n'est pas interdit, mais à consommer avec modération, en privilégiant les sucres à faible indice glycémique et en limitant les sucres ajoutés.",Le sucre est complètement interdit pour les diabétiques pour éviter toute augmentation du taux de sucre.,Les diabétiques peuvent manger autant de sucre qu'ils le souhaitent tant qu'ils prennent leurs médicaments à temps.,"Seuls les sucres naturels comme le miel et les fruits sont autorisés, le sucre blanc est strictement interdit."
56,comment COMPRENDRE L'APPORT EN GLUCIDES PAR RAPPORT À la dose d'INSULINE ?,Comprendre le ratio insuline/glucides et adapter la dose d'insuline selon la glycémie à jeun est essentiel pour gérer l'apport en glucides.,"Il faut simplement prendre la même quantité d'insuline chaque jour, quel que soit ce que l'on mange.",Il suffit de sentir si on a besoin de plus d'insuline après un repas en fonction de comment on se sent.,Le nombre de glucides n'a pas vraiment d'importance tant qu'on fait de l'exercice régulièrement.
57,POURQUOI CERTAINS PATIENTS diabétiques DOIVENT-ILS ÊTRE AMPUTÉS ?,"L'amputation chez les diabétiques est due à une mauvaise circulation ou sensibilité dans les jambes, causant des plaies non guérissables qui s'infectent.","C'est parce que le sucre dans le sang ronge les os et les muscles, les rendant trop faibles pour soutenir le corps.",C'est un effet secondaire de certains médicaments contre le diabète qui peuvent endommager les tissus.,C'est la seule façon d'arrêter le diabète de se propager dans tout le corps.
58,J'AIMERAIS SAVOIR LES CHOSES À FAIRE ET À NE PAS FAIRE DANS LE DOMAINE DE L'ALIMENTATION chez un diabétique?,"Mangez équilibré, riche en fibres et oméga-3 (légumes, grains entiers, poisson). Limitez sucre, sel, gras. 3 repas réguliers.","Les diabétiques ne devraient manger que des aliments faibles en sucre, même si cela signifie éliminer des groupes alimentaires entiers.",Il est préférable pour les diabétiques de manger un ou deux gros repas par jour pour contrôler leur glycémie.,"Manger beaucoup de fruits est toujours bon pour les diabétiques, peu importe le type ou la quantité."
59,QUELLES SONT LES PARTIES DE MON CORPS OÙ JE PEUX ME FAIRE DES INJECTIONS?,"Injectez dans le bras, la cuisse ou le ventre, là où il y a de la graisse sous la peau.","N'importe où, tant que l'aiguille entre.","Seulement dans les veines, comme pour les prises de sang.","Uniquement dans le muscle, pour que le médicament agisse vite."
60,QUELLES SONTLES COMPLICATIONS QUE LE DIABÈTE PEUT ENTRAÎNER ?,"Le diabète peut entraîner des complications oculaires, rénales, nerveuses et cardiovasculaires.",Le diabète peut causer des maux de tête constants et vous faire perdre du poids rapidement.,Le diabète provoque toujours des éruptions cutanées et rend vos cheveux gris prématurément.,Le diabète affaiblit vos os et cause de l'arthrite sévère.
61,Dans quelles circonstances les diabétiques doivent-ils se faire une injection d'insuline ?,"Les diabétiques s'injectent de l'insuline quand leur glycémie est trop élevée, notamment les diabétiques de type 1.","Les diabétiques doivent se faire une injection d'insuline tous les matins à jeun, quelle que soit leur glycémie.",Les diabétiques doivent se faire une injection d'insuline uniquement s'ils ont mangé beaucoup de sucre dans la journée.,Les diabétiques doivent se faire une injection d'insuline seulement s'ils se sentent fatigués ou faibles.
62,"Le diabète est-il une maladie que l'on peut vaincre ou, lorsqu'une personne en est atteinte, l'est-elle pour la vie ?","Le diabète est une maladie chronique qui ne se guérit pas, mais peut être traitée et contrôlée.",Le diabète de type 2 peut être complètement guéri avec un régime alimentaire strict et de l'exercice.,Le diabète est seulement temporaire et disparaît généralement avec l'âge.,Le diabète de type 1 peut être guéri avec des traitements à base de plantes.
63,Quel type de régime spécial une personne atteinte de diabète doit-elle suivre et y a-t-il des aliments qu'elle ne peut pas consommer du tout ?,"Privilégiez une alimentation équilibrée, riche en fibres et bonnes graisses, limitant sucres et gras. Aucun aliment n'est interdit, mais certains sont à modérer pour stabiliser la glycémie.","Un régime sans sucre strict est obligatoire, et ils ne peuvent absolument rien manger qui en contienne, même naturellement.","Ils doivent manger principalement des protéines maigres et éviter tous les glucides, y compris les fruits et les légumes.","Il faut suivre un régime alimentaire précis et identique pour tous les diabétiques, en éliminant complètement les graisses."
64,Dans quelles circonstances un régime cétogène constitue-t-il un traitement efficace CHEZ LE diabétique ?,Déconseillé pour les diabétiques.,"Quand cela aide à perdre du poids rapidement, ce qui est bon pour le diabète.",Lorsque le diabétique veut réduire sa dépendance aux médicaments.,Si le diabétique a du mal à contrôler sa glycémie avec d'autres régimes.
