id,Q,A,,,,,,,,,,,,,,
30,"COMMENT ÉQUILIBRER L'ALIMENTATION, L'ACTIVITÉ ET L'INSULINE, EN PARTICULIER LORSQUE L'ACTIVITÉ PROFESSIONNELLE N'EST PAS CONSTANTE ?","Pour équilibrer l'alimentation, l'activité et l'insuline, il faut :  - Suivre un plan de nutrition varié et équilibré, en respectant les portions et la répartition des aliments contenant des glucides. - Privilégier les aliments ayant un index glycémique et insulinique faibles ou moyens, qui apportent du glucose au sang de façon lente . - Pratiquer une activité physique régulière, qui permet de rétablir en partie la sensibilité de l'organisme à l'insuline. - Adapter la dose d'insuline en fonction des besoins et des variations de l'activité professionnelle, avec l'aide d'un professionnel de la santé.",,,,,,,,,,,,,,
31,QUELLES SONT LES PRINCIPALES AVANCÉES EN MATIÈRE DE SOINS ET QUAND LES PATIENTS POURRONT-ILS EN BÉNÉFICIER ?,"-L’association d’une insuline basale et d’un agoniste des récepteurs du GLP-1 (Glucagon-like peptide-1),-L’association d’inhibiteurs de la dipeptidyl peptidase-4 (iDPP-4 ou gliptines) et d’inhibiteurs des cotransporteurs sodium-glucose de type 2 (SGLT2 ou gliflozines, non encore commercialisées en France),",,,,,,,,,,,,,,
32,QUELS SONT LES EFFETS SECONDAIRES GRAVES DES MÉDICAMENTS POUR LE DIABÈTE ?,"Les effets secondaires graves des médicaments pour le diabète peuvent inclure l'**acidocétose diabétique**  et la **gangrène de Fournier** . Ces effets sont rares mais potentiellement mortels. D'autres effets secondaires possibles sont les **hypoglycémies** , les **vomissements**, les **douleurs musculaires** ou **articulaires**, les **infections respiratoires**, la **diarrhée** et les **maux de dos** .",,,,,,,,,,,,,,
33,QU'EST-CE QUE LA MYOPATHIE ET Y A-T-IL QUELQUE CHOSE QUE JE PUISSE FAIRE POUR Y REMÉDIER ?,"La myopathie est un terme général qui désigne des maladies qui affectent les muscles qui se connectent aux os . Les myopathies peuvent être transmises dans les familles  ou se développer plus tard dans la vie . Les personnes vivant avec une myopathie peuvent avoir des difficultés à effectuer les activités de la vie quotidienne comme se baigner, se peigner les cheveux ou se lever d'une chaise.  Le traitement et le pronostic dépendent du type et de la gravité de la myopathie. Certaines myopathies peuvent être traitées avec des médicaments, de la physiothérapie ou d'autres interventions. D'autres peuvent nécessiter un soutien respiratoire ou une intervention chirurgicale. Il n'existe pas de remède définitif pour la plupart des myopathies.",,,,,,,,,,,,,,
34,EXISTE-T-IL UNE ALTERNATIVE À L'INSULINE ?,"Oui, il existe des alternatives à l'insuline, mais elles ne sont pas toutes efficaces ou sans risque. Parmi les alternatives possibles, on peut citer : - Des médicaments qui diminuent la résistance du sucre à l'insuline ou qui stimulent la sécrétion d'insuline par le pancréas. - La leptine, une hormone qui régule la glycémie par des voies différentes de l'insuline et qui a permis de maintenir en vie des souris diabétiques sans insuline.- Des pompes à insuline qui délivrent de l'insuline en continu et qui permettent d'ajuster la dose selon les besoins.  Cependant, ces alternatives ne sont pas adaptées à tous les types de diabète et peuvent avoir des effets secondaires. Il est donc important de consulter un médecin avant de changer de traitement.",,,,,,,,,,,,,,
35,"PUIS-JE PRENDRE MON ""FOND"" À UN AUTRE MOMENT DE LA JOURNÉE POUR OBTENIR UN MEILLEUR CONTRÔLE ?","Non, il faut respecter le moment de prise journalière.",,,,,,,,,,,,,,
36,EXISTE-T-IL DES MOYENS PLUS SIMPLES DE CONTRÔLER LA GLYCÉMIE ?,"Il existe plusieurs moyens simples de contrôler la glycémie, comme :  - surveiller régulièrement sa glycémie avec un lecteur de glycémie ou un appareil de mesure du glucose interstitiel  ; - choisir des aliments à faible indice glycémique et consommer suffisamment de fibres ; - pratiquer une activité physique adaptée et régulière ; - respecter les doses et les horaires du traitement médicamenteux ou de l'insuline.",,,,,,,,,,,,,,
37,"COMMENT RÉDUIRE RÉELLEMENT MON TAUX D'INSULINE DE FOND - EXERCICE, RÉGIME, PERTE DE POIDS?",Activité physique régulière (30 min par jr) Régime alimentaire adaptée.,,,,,,,,,,,,,,
38,Comment gérer la RÉSISTANCE À L'INSULINE?,"La résistance à l'insuline est un problème de santé qui se produit lorsque le corps ne peut pas utiliser l'insuline efficacement pour faire entrer le glucose dans les cellules. Cela peut entraîner une augmentation de la glycémie et un risque de diabète de type 2. Pour gérer la résistance à l'insuline, il faut adopter un mode de vie sain qui comprend  :  - Un régime alimentaire équilibré et riche en fibres, avec des aliments ayant un indice glycémique faible ou moyen, comme les légumes, les fruits, les grains entiers, les légumineuses et les produits laitiers faibles en gras. - Une activité physique régulière, d'au moins 30 minutes par jour, qui aide à améliorer la sensibilité à l'insuline et à brûler le glucose excédentaire. - Un sommeil suffisant - Le médecin peut également prescrire un médicament comme la metformine, qui réduit la production de glucose par le foie et augmente l'utilisation du glucose par les muscles.",,,,,,,,,,,,,,
39,Quel est la NÉCESSITÉ D'UNE ROTATION PLUS FRÉQUENTE DES SITES?," La rotation des sites d'injection d'insuline permet d'éviter les contusions, les infections et l’inflammation due à l’injection en même site les dépôts de graisse et les variations d'absorption de l'insuline.",,,,,,,,,,,,,,
40,"Y-A-T-IL des INFORMATIONS SUR LES PROGRÈS RÉALISÉS EN MATIÈRE DE GUÉRISON, DE TRANSPLANTATION, ETC?",La transplantation d'organes et de tissus humains est une forme de traitement qui permet de sauver des vies pour plusieurs maladies et traumatismes graves ; - La transplantation pancréas  est souvent le traitement de choix. ,,,,,,,,,,,,,,
41,Y-A-T-IL une POSSIBILITÉ QUE LES ENFANTS SOIENT ATTEINTS DE DIABÈTE héréditaire ?,"Oui Le diabète de type 1 est purement héréditaire, mais le risque de transmission est faible.",,,,,,,,,,,,,,
42,COMMENT AI-JE PU CONTRACTER LE DIABÈTE sans JAMAIS être en SURPOIDS et avec une bonne TENSION ARTÉRIELLE ?,"Le diabète de type 2 est une maladie qui se caractérise par un taux de sucre trop élevé dans le sang. Il peut être causé par plusieurs facteurs, dont certains ne sont pas liés au surpoids ou à la tension artérielle. Par exemple :  - Une prédisposition génétique - Un mode de vie sédentaire  - Une alimentation trop riche en glucides raffinés - Le vieillissement.",,,,,,,,,,,,,,
43,QUEL EST LE RISQUE D'ENDOMMAGER DES ORGANES CHEZ une persone diabétique?,"le risque d'endommager des organes chez une personne diabétique est lié à une **hyperglycémie** chronique qui affecte la paroi des **vaisseaux sanguins** et le fonctionnement de plusieurs organes, principalement les **reins**, les **yeux**, le **système nerveux**, le **cœur** et les **artères**  .",,,,,,,,,,,,,,
44,EST CE QUE LA VUE SE DÉTÉRIORE PLUS RAPIDEMENT EN CAS DE DIABÈTE?,"Oui,  car le diabète peut endommager la rétine, le cristallin, l'iris et la pression interne de l'œil. La rétinopathie diabétique est la complication du diabète la plus fréquente au niveau des yeux . Elle se développe en silence et peut progressivement entraîner une perte de la vue. Il est donc important de contrôler sa glycémie et de faire un examen du fond d'œil régulièrement et consulter le médecin traitant en cas de problème de vue.",,,,,,,,,,,,,,
45,EST-CE QUE TOUS LES PATIENTS diabétiques de TYPE 2 FINIRONT PAR PASSER À L'INSULINE?,"Non, tous les patients diabétiques de type 2 ne finiront pas par passer à l'insuline. Certains peuvent contrôler leur glycémie avec une alimentation saine et de l'exercice, et avec des médicaments antidiabétiques oraux. Cependant, le diabète est une maladie qui évolue et il se peut que le corps nécessite éventuellement des injections d'insuline pour palier sa diminution de production par le pancréas. L'insulinothérapie devient nécessaire lorsque l'hémoglobine glyquée reste supérieure à 8 % malgré les autres traitements   ou dans certaines circonstances particulières.",,,,,,,,,,,,,,
46,Que faire contre les infections de la peau chez le diabétique ?,"Les infections de la peau chez le diabétique sont favorisées par l'hyperglycémie chronique qui affaiblit les défenses immunitaires. Pour les prévenir, il faut respecter les règles d'hygiène de base, contrôler sa glycémie et se faire vacciner contre certaines maladies infectieuses plus rotation des sites d injection . Pour les traiter, il faut consulter un médecin qui prescrira des antibiotiques adaptés à la bactérie responsable de l'infection    .",,,,,,,,,,,,,,
47,"LE DIABÈTE DE TYPE II PEUT-IL ÊTRE ""GUÉRI"" OU SEULEMENT PRIS EN CHARGE?","Non , il faut vivre avec .",,,,,,,,,,,,,,
48,QUEL EST L'IMPACT D'UNE AUTRE MALADIE SUR UNE PERSONNE ATTEINTE DE DIABÈTE?,"L'impact d'une autre maladie sur une personne atteinte de diabète dépend du type et de la gravité de la maladie, ainsi que du niveau de contrôle du diabète. Une autre maladie peut aggraver le diabète telle que les infections bactériennes. Il est donc important de surveiller régulièrement sa glycémie et de consulter son médecin en cas de maladie concomitante au diabète.",,,,,,,,,,,,,,
49,POURQUOI JE CONTINUE À ALLER AUX TOILETTES TOUTES LES HEURES POURQUOI JE SUIS TOUJOURS FATIGUÉE?,"Il y a plusieurs causes possibles pour avoir envie d'aller aux toilettes toutes les heures et se sentir toujours fatigué. Voici une liste de plusieurs causes : - **infection urinaire** ou une **cystite ;- **diabète ;- **maladie de prostate ;- **syndrome de la vessie irritable**, qui provoque une inflammation chronique de la vessie et une sensation de besoin urgent d'uriner. Vous pouvez aussi avoir des douleurs au niveau du bas-ventre ou pendant les rapports sexuels. - Vous pouvez avoir une **maladie neurologique** comme la sclérose en plaques, qui affecte le contrôle nerveux de la vessie et entraîne des troubles urinaires - Vous pouvez avoir une **consommation excessive de liquides**, surtout le soir ou des boissons diurétiques comme le thé, le café ou l'alcool. Cela peut augmenter le volume d'urine et la fréquence des mictions . - Vous pouvez avoir du **stress** ou de l'**anxiété**, qui peuvent stimuler la vessie et provoquer des envies fréquentes d'uriner. Cela peut aussi affecter votre sommeil et votre énergie . - Vous pouvez être **enceinte** si vous êtes une femme, ce qui peut augmenter la pression sur la vessie et réduire son volume. Cela peut aussi entraîner une fatigue plus importante.  Si vous avez envie d'uriner trop souvent, il est conseillé de consulter votre médecin traitant pour identifier la cause et vous proposer un traitement adapté .",,,,,,,,,,,,,,
50,Le diabète SERA-T-IL TRANSMIS À MES ENFANTS ?,Le profil génétique joue un rôle important dans transmission.,,,,,,,,,,,,,,
51,DANS QUELLE MESURE EST-CE QUE JE GÈRE BIEN MON DIABÈTE ? ,"Pour gérer votre diabète, vous devez :  - Prendre de l'insuline ou des médicaments selon la prescription de votre médecin  - Surveiller régulièrement votre taux de sucre sanguin  - Avoir une alimentation saine et équilibrée   - Faire de l'activité physique régulièrement   - Contrôler votre tension artérielle et votre cholestérol - Arrêter de fumer si vous êtes fumeur - Vérifier l'état de vos pieds",,,,,,,,,,,,,,
52,LE DIABÈTE A-T-IL UNE DURÉE DE VIE ?,"Non, cest une maladie chronique avec un traitement a vie.",,,,,,,,,,,,,,
53,A QUELLE FRÉQUENCE DOIS-JE MESURER MA GLYCÉMIE ?,"La fréquence à laquelle vous devez mesurer votre glycémie dépend de votre type de diabète et de votre traitement. Voici quelques recommandations générales :  -Avant et apres repas trois repas par jr. Il est conseillé d’effectuer des contrôles supplémentaires avant de conduire, avant et après des efforts physiques intenses ou imprévus, dans des circonstances de repas ou d’activités inhabituelles, en cas de suspicion de malaise hypoglycémique, en cas d’infection…  Vous pouvez aussi consulter votre médecin pour déterminer avec lui les modalités d'autosurveillance de la glycémie adaptées à votre situation.",,,,,,,,,,,,,,
54,"LORSQUE MON TAUX DE GLYCÉMIE EST ÉLEVÉ, DOIS-JE PRENDRE DE L'INSULINE POUR LE FAIRE BAISSER ?","Lorsque votre taux de glycémie est élevé, vous devez prendre de l'insuline pour le faire baisser si vous êtes diabétique de type 1 ou si votre médecin vous l'a prescrit. L'insuline permet au glucose de pénétrer dans les cellules et de réduire le taux de sucre dans le sang . Si vous n'êtes pas diabétique ou si vous n'avez pas besoin d'insuline, vous pouvez faire baisser votre taux de glycémie en adoptant une alimentation saine, en faisant de l'exercice physique et en évitant le stress .",,,,,,,,,,,,,,
55,LE SUCRE EST-IL STRICTEMENT INTERDIT OU AUTORISÉ AVEC MODÉRATION ? ,"Le sucre n'est pas strictement interdit pour les personnes diabétiques, mais il doit être consommé avec modération et en choisissant des sucres à faible indice glycémique . Les sucres ajoutés sont à limiter car ils augmentent le taux de sucre dans le sang  et n'apportent pas de nutriments essentiels .",,,,,,,,,,,,,,
56,comment COMPRENDRE L'APPORT EN GLUCIDES PAR RAPPORT À la dose d'INSULINE ?,"Pour comprendre l'apport en glucides par rapport à la dose d'insuline, il faut connaître le **ratio insuline/glucides** qui correspond à la quantité de glucides  qu'une unité d'insuline à action rapide permet aux cellules du corps de consommer. Ce ratio peut varier selon les personnes et les moments de la journée. Il faut aussi mesurer sa **glycémie à jeun** chaque jour et adapter sa dose d'insuline en fonction de son objectif cible de glycémie. Cette procédure s'appelle l'**adaptation posologique** ou **titration** de la dose d'insuline .",,,,,,,,,,,,,,
